date,year,month,period,region,customer_segment,product_category,product_id,units_sold,list_price,net_price,discount_pct,cost_per_unit,gross_margin_pct,revenue,gross_profit,marketing_campaign_flag,marketing_spend,competitor_price_index,category_market_index,inflation_index,season_index,order_frequency,_true_elasticity
2024-11-01,2024,11,23,North,Homeowners,Residential Filters,RES-001,4,33.08,30.45,0.0796,22.01,0.2773,121.8,33.77,1,3536.18,0.979,0.9582,1.0482,0.91,5.387,-1.6731
2024-12-01,2024,12,24,North,Homeowners,Residential Filters,RES-001,3,36.56,32.94,0.0991,22.01,0.3319,98.82,32.8,0,0.0,0.9747,0.9647,1.0584,0.8441,5.663,-1.6731
2025-01-01,2025,1,25,North,Homeowners,Residential Filters,RES-001,3,34.36,32.49,0.0545,22.01,0.3226,97.46,31.44,0,0.0,0.9737,0.9295,1.0546,0.82,3.867,-1.6731
2025-02-01,2025,2,26,North,Homeowners,Residential Filters,RES-001,3,37.83,35.33,0.0661,22.01,0.3771,105.99,39.97,0,0.0,0.9513,0.9576,1.0528,0.8441,2.12,-1.6731
2025-03-01,2025,3,27,North,Homeowners,Residential Filters,RES-001,2,37.6,34.76,0.0755,22.01,0.367,69.52,25.51,0,0.0,0.898,0.9678,1.0628,0.91,6.237,-1.6731
2025-04-01,2025,4,28,North,Homeowners,Residential Filters,RES-001,3,36.98,34.32,0.0719,22.01,0.3589,102.97,36.95,0,0.0,0.9872,0.9721,1.0649,1.0,5.727,-1.6731
2025-05-01,2025,5,29,North,Homeowners,Residential Filters,RES-001,3,38.3,32.37,0.1548,22.01,0.3202,97.12,31.1,0,0.0,0.9492,0.9461,1.0633,1.09,6.139,-1.6731
2025-06-01,2025,6,30,North,Homeowners,Residential Filters,RES-001,3,40.31,37.19,0.0774,22.01,0.4084,111.58,45.57,1,14864.59,0.9694,0.9287,1.0601,1.1559,4.578,-1.6731
2025-07-01,2025,7,31,North,Homeowners,Residential Filters,RES-001,4,38.84,33.19,0.1454,22.01,0.3369,132.75,44.72,0,0.0,0.9501,0.9364,1.0591,1.18,6.586,-1.6731
2025-08-01,2025,8,32,North,Homeowners,Residential Filters,RES-001,4,31.64,28.18,0.1094,22.01,0.219,112.71,24.68,0,0.0,0.9646,0.9941,1.0543,1.1559,5.909,-1.6731
2025-09-01,2025,9,33,North,Homeowners,Residential Filters,RES-001,2,41.18,40.29,0.0217,22.01,0.4538,80.58,36.56,0,0.0,0.9393,0.9797,1.072,1.09,5.481,-1.6731
2025-10-01,2025,10,34,North,Homeowners,Residential Filters,RES-001,3,34.96,31.61,0.0958,22.01,0.3039,94.84,28.82,0,0.0,0.9733,0.9854,1.0635,1.0,6.978,-1.6731
2025-11-01,2025,11,35,North,Homeowners,Residential Filters,RES-001,3,35.06,33.13,0.0553,22.01,0.3357,99.38,33.36,0,0.0,0.9685,0.9944,1.0751,0.91,5.865,-1.6731
2025-12-01,2025,12,36,North,Homeowners,Residential Filters,RES-001,3,36.61,30.09,0.1781,22.01,0.2687,90.27,24.25,1,12541.56,0.9616,0.9728,1.0795,0.8441,3.698,-1.6731
2023-01-01,2023,1,1,North,Homeowners,Residential Filters,RES-002,2,37.92,34.03,0.1026,23.11,0.3209,68.05,21.84,0,0.0,0.9249,1.0411,0.9976,0.82,6.042,-1.6731
2023-02-01,2023,2,2,North,Homeowners,Residential Filters,RES-002,2,38.55,35.06,0.0905,23.11,0.3409,70.12,23.9,0,0.0,0.9814,1.0362,1.0031,0.8441,4.728,-1.6731
2023-03-01,2023,3,3,North,Homeowners,Residential Filters,RES-002,2,35.88,32.08,0.1058,23.11,0.2796,64.16,17.94,1,3473.02,0.9508,1.0131,0.9968,0.91,4.386,-1.6731
2023-04-01,2023,4,4,North,Homeowners,Residential Filters,RES-002,3,35.83,31.71,0.115,23.11,0.2712,95.13,25.8,0,0.0,1.058,1.0364,1.013,1.0,4.195,-1.6731
2023-05-01,2023,5,5,North,Homeowners,Residential Filters,RES-002,5,32.95,30.93,0.0612,23.11,0.253,154.67,39.13,1,7175.82,1.0493,1.0705,1.0014,1.09,3.951,-1.6731
2023-06-01,2023,6,6,North,Homeowners,Residential Filters,RES-002,3,36.22,32.45,0.104,23.11,0.2879,97.35,28.03,0,0.0,1.0131,1.0233,1.0051,1.1559,5.713,-1.6731
2023-07-01,2023,7,7,North,Homeowners,Residential Filters,RES-002,4,37.4,34.5,0.0774,23.11,0.3303,138.02,45.59,1,18587.81,1.026,1.0019,1.0178,1.18,6.538,-1.6731
2023-08-01,2023,8,8,North,Homeowners,Residential Filters,RES-002,4,36.22,32.58,0.1003,23.11,0.2908,130.33,37.9,0,0.0,1.1025,1.0299,1.0154,1.1559,4.185,-1.6731
2023-09-01,2023,9,9,North,Homeowners,Residential Filters,RES-002,3,36.48,32.9,0.0983,23.11,0.2976,98.69,29.37,0,0.0,0.9951,0.9838,1.0111,1.09,4.848,-1.6731
2023-10-01,2023,10,10,North,Homeowners,Residential Filters,RES-002,3,39.49,33.08,0.1625,23.11,0.3013,99.23,29.9,0,0.0,1.0319,1.0159,1.0197,1.0,4.793,-1.6731
2023-11-01,2023,11,11,North,Homeowners,Residential Filters,RES-002,4,33.74,29.44,0.1276,23.11,0.215,117.75,25.32,0,0.0,1.0507,1.0464,1.0213,0.91,5.132,-1.6731
2023-12-01,2023,12,12,North,Homeowners,Residential Filters,RES-002,3,34.61,31.9,0.0782,23.11,0.2757,95.71,26.39,0,0.0,1.0625,1.0354,1.0247,0.8441,5.745,-1.6731
2024-01-01,2024,1,13,North,Homeowners,Residential Filters,RES-002,2,39.8,36.91,0.0727,23.11,0.374,73.82,27.61,0,0.0,0.98,0.9795,1.0318,0.82,4.337,-1.6731
2024-02-01,2024,2,14,North,Homeowners,Residential Filters,RES-002,2,30.29,29.54,0.0249,23.11,0.2177,59.08,12.86,0,0.0,1.0487,0.9938,1.0294,0.8441,4.843,-1.6731
2024-03-01,2024,3,15,North,Homeowners,Residential Filters,RES-002,4,37.06,33.76,0.089,23.11,0.3155,135.04,42.61,1,11473.99,1.0504,0.9868,1.0337,0.91,4.036,-1.6731
2024-04-01,2024,4,16,North,Homeowners,Residential Filters,RES-002,3,40.94,38.91,0.0495,23.11,0.4061,116.73,47.4,1,10175.35,1.0109,1.0253,1.0319,1.0,7.078,-1.6731
2024-05-01,2024,5,17,North,Homeowners,Residential Filters,RES-002,4,34.9,32.44,0.0705,23.11,0.2877,129.77,37.34,0,0.0,0.9701,1.0045,1.0306,1.09,2.327,-1.6731
2024-06-01,2024,6,18,North,Homeowners,Residential Filters,RES-002,4,33.13,31.36,0.0535,23.11,0.263,125.42,32.99,0,0.0,1.004,0.9824,1.0346,1.1559,3.99,-1.6731
2024-07-01,2024,7,19,North,Homeowners,Residential Filters,RES-002,3,39.05,34.63,0.1133,23.11,0.3327,103.88,34.56,0,0.0,1.0102,1.0241,1.0371,1.18,4.296,-1.6731
2024-08-01,2024,8,20,North,Homeowners,Residential Filters,RES-002,3,34.17,32.68,0.0437,23.11,0.2928,98.03,28.71,0,0.0,0.9663,0.978,1.0413,1.1559,4.281,-1.6731
2024-09-01,2024,9,21,North,Homeowners,Residential Filters,RES-002,3,39.26,34.51,0.121,23.11,0.3304,103.53,34.21,1,18274.08,1.0012,0.9795,1.0344,1.09,5.514,-1.6731
2024-10-01,2024,10,22,North,Homeowners,Residential Filters,RES-002,2,37.78,35.93,0.049,23.11,0.3568,71.86,25.64,0,0.0,1.0141,0.9673,1.0456,1.0,3.812,-1.6731
2024-11-01,2024,11,23,North,Homeowners,Residential Filters,RES-002,4,34.59,32.05,0.0732,23.11,0.279,128.21,35.78,1,14977.79,0.9339,0.9526,1.047,0.91,3.733,-1.6731
2024-12-01,2024,12,24,North,Homeowners,Residential Filters,RES-002,2,42.35,38.33,0.095,23.11,0.3971,76.66,30.44,0,0.0,0.9128,0.9411,1.0458,0.8441,6.175,-1.6731
2025-01-01,2025,1,25,North,Homeowners,Residential Filters,RES-002,3,33.57,30.39,0.0947,23.11,0.2397,91.18,21.85,0,0.0,0.9946,0.9519,1.0468,0.82,6.116,-1.6731
2025-02-01,2025,2,26,North,Homeowners,Residential Filters,RES-002,3,33.78,30.3,0.1029,23.11,0.2375,90.91,21.59,1,4446.87,0.9586,0.9341,1.0543,0.8441,3.661,-1.6731
2025-03-01,2025,3,27,North,Homeowners,Residential Filters,RES-002,3,38.66,34.27,0.1136,23.11,0.3257,102.81,33.49,1,13110.07,0.9346,0.9619,1.0555,0.91,5.765,-1.6731
2025-04-01,2025,4,28,North,Homeowners,Residential Filters,RES-002,2,36.93,34.58,0.0637,23.11,0.3318,69.16,22.95,0,0.0,0.873,0.9926,1.069,1.0,2.876,-1.6731
2025-05-01,2025,5,29,North,Homeowners,Residential Filters,RES-002,3,37.26,34.55,0.0726,23.11,0.3312,103.66,34.34,0,0.0,0.9617,0.9705,1.0509,1.09,7.663,-1.6731
2025-06-01,2025,6,30,North,Homeowners,Residential Filters,RES-002,5,37.13,33.71,0.0919,23.11,0.3146,168.57,53.03,1,12315.34,0.8927,0.9634,1.0585,1.1559,4.991,-1.6731
2025-07-01,2025,7,31,North,Homeowners,Residential Filters,RES-002,5,35.19,29.85,0.1517,23.11,0.2258,149.24,33.7,1,2898.6,0.9202,0.9643,1.0686,1.18,3.17,-1.6731
2025-08-01,2025,8,32,North,Homeowners,Residential Filters,RES-002,3,35.69,32.68,0.0843,23.11,0.2928,98.03,28.71,0,0.0,0.8981,0.9295,1.067,1.1559,2.122,-1.6731
2025-09-01,2025,9,33,North,Homeowners,Residential Filters,RES-002,3,38.74,34.23,0.1164,23.11,0.325,102.7,33.38,0,0.0,0.9786,0.9704,1.0786,1.09,5.665,-1.6731
2025-10-01,2025,10,34,North,Homeowners,Residential Filters,RES-002,3,40.25,37.1,0.0783,23.11,0.3771,111.29,41.96,0,0.0,0.9433,0.9567,1.0664,1.0,6.998,-1.6731
2025-11-01,2025,11,35,North,Homeowners,Residential Filters,RES-002,2,36.9,34.44,0.0666,23.11,0.329,68.88,22.66,0,0.0,0.9939,0.9228,1.0667,0.91,2.416,-1.6731
2025-12-01,2025,12,36,North,Homeowners,Residential Filters,RES-002,3,35.65,34.0,0.0465,23.11,0.3203,101.99,32.67,0,0.0,0.9651,0.95,1.0726,0.8441,4.029,-1.6731
2023-01-01,2023,1,1,North,Homeowners,Residential Filters,RES-003,2,30.33,28.02,0.0761,18.82,0.3281,56.03,18.39,1,4493.99,0.9492,1.0398,0.9989,0.82,3.324,-1.6731
2023-02-01,2023,2,2,North,Homeowners,Residential Filters,RES-003,2,28.28,25.1,0.1124,18.82,0.25,50.2,12.55,0,0.0,1.0223,0.9941,0.9946,0.8441,6.953,-1.6731
2023-03-01,2023,3,3,North,Homeowners,Residential Filters,RES-003,3,30.58,27.64,0.0963,18.82,0.3189,82.91,26.44,1,10387.01,1.01,1.0402,1.0069,0.91,5.534,-1.6731
2023-04-01,2023,4,4,North,Homeowners,Residential Filters,RES-003,3,30.6,27.81,0.0913,18.82,0.3231,83.43,26.96,1,4469.64,0.9368,1.0578,1.0122,1.0,2.968,-1.6731
2023-05-01,2023,5,5,North,Homeowners,Residential Filters,RES-003,3,30.93,28.18,0.089,18.82,0.3321,84.55,28.07,0,0.0,1.0,1.0183,1.0084,1.09,3.982,-1.6731
2023-06-01,2023,6,6,North,Homeowners,Residential Filters,RES-003,4,32.84,27.36,0.167,18.82,0.3119,109.43,34.13,0,0.0,1.0429,1.0468,1.0126,1.1559,5.962,-1.6731
2023-07-01,2023,7,7,North,Homeowners,Residential Filters,RES-003,5,30.3,26.83,0.1146,18.82,0.2984,134.15,40.04,1,8455.49,1.0248,1.0203,1.0061,1.18,7.275,-1.6731
2023-08-01,2023,8,8,North,Homeowners,Residential Filters,RES-003,3,29.5,25.39,0.1394,18.82,0.2587,76.18,19.71,0,0.0,1.0323,1.0066,1.0166,1.1559,3.637,-1.6731
2023-09-01,2023,9,9,North,Homeowners,Residential Filters,RES-003,3,28.82,26.43,0.083,18.82,0.2878,79.29,22.82,0,0.0,1.0291,1.0302,1.0169,1.09,3.901,-1.6731
2023-10-01,2023,10,10,North,Homeowners,Residential Filters,RES-003,3,27.51,25.34,0.079,18.82,0.257,76.01,19.54,0,0.0,1.0418,0.9859,1.0181,1.0,6.471,-1.6731
2023-11-01,2023,11,11,North,Homeowners,Residential Filters,RES-003,3,29.06,25.4,0.126,18.82,0.2589,76.2,19.72,0,0.0,1.0403,1.0253,1.0273,0.91,5.041,-1.6731
2023-12-01,2023,12,12,North,Homeowners,Residential Filters,RES-003,2,28.34,27.34,0.0352,18.82,0.3116,54.69,17.04,0,0.0,1.0112,1.0187,1.0204,0.8441,5.574,-1.6731
2024-01-01,2024,1,13,North,Homeowners,Residential Filters,RES-003,2,30.07,28.0,0.0689,18.82,0.3277,56.0,18.35,1,18850.19,1.0112,1.0382,1.0192,0.82,2.966,-1.6731
2024-02-01,2024,2,14,North,Homeowners,Residential Filters,RES-003,2,29.63,27.07,0.0862,18.82,0.3047,54.15,16.5,0,0.0,0.9414,1.013,1.0349,0.8441,4.744,-1.6731
2024-03-01,2024,3,15,North,Homeowners,Residential Filters,RES-003,3,27.77,26.24,0.0549,18.82,0.2827,78.73,22.26,1,6054.32,1.0715,0.9939,1.0387,0.91,7.304,-1.6731
2024-04-01,2024,4,16,North,Homeowners,Residential Filters,RES-003,2,29.83,27.41,0.0813,18.82,0.3133,54.82,17.17,0,0.0,1.0357,0.982,1.0361,1.0,4.612,-1.6731
2024-05-01,2024,5,17,North,Homeowners,Residential Filters,RES-003,3,29.63,26.03,0.1213,18.82,0.2769,78.09,21.62,0,0.0,1.0132,1.0003,1.0236,1.09,4.022,-1.6731
2024-06-01,2024,6,18,North,Homeowners,Residential Filters,RES-003,2,29.44,28.64,0.0273,18.82,0.3427,57.27,19.63,0,0.0,1.0203,0.9606,1.0334,1.1559,5.144,-1.6731
2024-07-01,2024,7,19,North,Homeowners,Residential Filters,RES-003,3,27.55,24.9,0.0962,18.82,0.244,74.7,18.23,0,0.0,0.9305,0.9442,1.0374,1.18,5.076,-1.6731
2024-08-01,2024,8,20,North,Homeowners,Residential Filters,RES-003,3,30.03,27.51,0.0839,18.82,0.3158,82.54,26.07,0,0.0,0.9438,0.9576,1.041,1.1559,4.682,-1.6731
2024-09-01,2024,9,21,North,Homeowners,Residential Filters,RES-003,3,26.24,26.24,0.0,18.82,0.2826,78.71,22.24,0,0.0,0.9584,0.9765,1.0401,1.09,4.389,-1.6731
2024-10-01,2024,10,22,North,Homeowners,Residential Filters,RES-003,2,30.57,29.03,0.0505,18.82,0.3515,58.05,20.4,0,0.0,0.9657,0.9694,1.0517,1.0,7.672,-1.6731
2024-11-01,2024,11,23,North,Homeowners,Residential Filters,RES-003,2,27.03,24.98,0.076,18.82,0.2464,49.96,12.31,0,0.0,0.9326,0.9773,1.0486,0.91,6.385,-1.6731
2024-12-01,2024,12,24,North,Homeowners,Residential Filters,RES-003,2,32.69,28.4,0.1313,18.82,0.3371,56.79,19.15,0,0.0,0.8919,0.9603,1.0436,0.8441,4.514,-1.6731
2025-01-01,2025,1,25,North,Homeowners,Residential Filters,RES-003,2,34.39,31.69,0.0784,18.82,0.406,63.38,25.74,0,0.0,0.9354,0.9659,1.05,0.82,6.598,-1.6731
2025-02-01,2025,2,26,North,Homeowners,Residential Filters,RES-003,2,30.8,26.15,0.1509,18.82,0.2803,52.31,14.66,0,0.0,0.9348,0.9814,1.0564,0.8441,6.264,-1.6731
2025-03-01,2025,3,27,North,Homeowners,Residential Filters,RES-003,1,32.78,29.35,0.1046,18.82,0.3587,29.35,10.53,0,0.0,0.9438,0.9027,1.0561,0.91,3.132,-1.6731
2025-04-01,2025,4,28,North,Homeowners,Residential Filters,RES-003,2,31.17,27.95,0.1031,18.82,0.3266,55.91,18.26,0,0.0,0.9724,0.9507,1.0675,1.0,5.69,-1.6731
2025-05-01,2025,5,29,North,Homeowners,Residential Filters,RES-003,3,30.42,25.87,0.1497,18.82,0.2723,77.6,21.13,0,0.0,0.9292,0.9327,1.0571,1.09,6.309,-1.6731
2025-06-01,2025,6,30,North,Homeowners,Residential Filters,RES-003,3,29.55,27.0,0.0864,18.82,0.3028,80.99,24.52,0,0.0,0.9491,0.9401,1.0552,1.1559,4.705,-1.6731
2025-07-01,2025,7,31,North,Homeowners,Residential Filters,RES-003,3,31.09,30.21,0.0283,18.82,0.3769,90.64,34.16,0,0.0,0.9391,0.9754,1.0644,1.18,3.515,-1.6731
2025-08-01,2025,8,32,North,Homeowners,Residential Filters,RES-003,3,29.51,26.61,0.0982,18.82,0.2926,79.83,23.36,0,0.0,0.9797,0.9977,1.0712,1.1559,5.623,-1.6731
2025-09-01,2025,9,33,North,Homeowners,Residential Filters,RES-003,3,30.4,26.88,0.1157,18.82,0.2998,80.65,24.18,0,0.0,0.9378,0.9488,1.0646,1.09,5.204,-1.6731
2025-10-01,2025,10,34,North,Homeowners,Residential Filters,RES-003,2,31.59,28.47,0.0986,18.82,0.3389,56.95,19.3,0,0.0,0.9563,0.9407,1.076,1.0,3.214,-1.6731
2025-11-01,2025,11,35,North,Homeowners,Residential Filters,RES-003,3,28.06,26.85,0.0432,18.82,0.2989,80.55,24.08,1,7250.08,0.9412,0.9802,1.0725,0.91,5.692,-1.6731
2025-12-01,2025,12,36,North,Homeowners,Residential Filters,RES-003,3,26.01,23.16,0.1096,18.82,0.1871,69.47,12.99,0,0.0,0.9595,0.9706,1.0781,0.8441,5.443,-1.6731
2023-01-01,2023,1,1,North,Homeowners,Residential Filters,RES-004,3,35.58,33.31,0.0639,22.69,0.3187,99.93,31.84,0,0.0,0.9765,1.0535,0.9952,0.82,6.038,-1.6731
2023-02-01,2023,2,2,North,Homeowners,Residential Filters,RES-004,3,33.74,30.73,0.0891,22.69,0.2615,92.19,24.11,1,18024.15,0.9769,1.0206,1.0043,0.8441,4.955,-1.6731
2023-03-01,2023,3,3,North,Homeowners,Residential Filters,RES-004,2,42.23,38.45,0.0894,22.69,0.4098,76.91,31.52,0,0.0,0.9732,1.0472,1.0048,0.91,5.016,-1.6731
2023-04-01,2023,4,4,North,Homeowners,Residential Filters,RES-004,4,34.47,29.53,0.1432,22.69,0.2315,118.13,27.35,0,0.0,0.9745,1.0164,1.0085,1.0,5.107,-1.6731
2023-05-01,2023,5,5,North,Homeowners,Residential Filters,RES-004,5,32.91,30.38,0.0771,22.69,0.2529,151.88,38.41,0,0.0,0.9559,1.0406,1.0149,1.09,4.496,-1.6731
2023-06-01,2023,6,6,North,Homeowners,Residential Filters,RES-004,4,36.2,31.04,0.1424,22.69,0.2689,124.17,33.39,1,15963.47,0.9912,1.0362,1.0084,1.1559,3.348,-1.6731
2023-07-01,2023,7,7,North,Homeowners,Residential Filters,RES-004,5,34.9,31.02,0.1111,22.69,0.2685,155.12,41.65,0,0.0,1.0182,1.035,1.0092,1.18,7.095,-1.6731
2023-08-01,2023,8,8,North,Homeowners,Residential Filters,RES-004,3,38.1,34.1,0.1048,22.69,0.3346,102.31,34.23,0,0.0,1.0167,1.0405,1.0172,1.1559,6.041,-1.6731
2023-09-01,2023,9,9,North,Homeowners,Residential Filters,RES-004,3,33.66,32.62,0.0308,22.69,0.3044,97.87,29.79,0,0.0,1.0455,1.0198,1.0109,1.09,5.322,-1.6731
2023-10-01,2023,10,10,North,Homeowners,Residential Filters,RES-004,3,38.52,35.13,0.0882,22.69,0.354,105.38,37.3,1,11621.9,0.9725,1.0306,1.0188,1.0,4.917,-1.6731
2023-11-01,2023,11,11,North,Homeowners,Residential Filters,RES-004,3,34.92,32.21,0.0776,22.69,0.2954,96.62,28.54,0,0.0,0.9948,0.9758,1.0164,0.91,4.377,-1.6731
2023-12-01,2023,12,12,North,Homeowners,Residential Filters,RES-004,4,35.18,30.24,0.1403,22.69,0.2496,120.97,30.19,0,0.0,1.0017,1.0119,1.0229,0.8441,2.416,-1.6731
2024-01-01,2024,1,13,North,Homeowners,Residential Filters,RES-004,2,34.94,34.77,0.0049,22.69,0.3473,69.54,24.15,0,0.0,1.012,1.0017,1.0301,0.82,5.421,-1.6731
2024-02-01,2024,2,14,North,Homeowners,Residential Filters,RES-004,2,37.0,32.43,0.1235,22.69,0.3002,64.85,19.47,0,0.0,0.997,1.0051,1.0344,0.8441,3.499,-1.6731
2024-03-01,2024,3,15,North,Homeowners,Residential Filters,RES-004,3,35.39,34.06,0.0375,22.69,0.3337,102.17,34.09,0,0.0,0.9589,0.9834,1.0415,0.91,4.706,-1.6731
2024-04-01,2024,4,16,North,Homeowners,Residential Filters,RES-004,3,33.49,31.13,0.0705,22.69,0.271,93.4,25.31,0,0.0,0.9523,0.9945,1.0232,1.0,5.378,-1.6731
2024-05-01,2024,5,17,North,Homeowners,Residential Filters,RES-004,3,37.37,33.65,0.0996,22.69,0.3256,100.95,32.87,0,0.0,0.9512,1.0044,1.0333,1.09,4.821,-1.6731
2024-06-01,2024,6,18,North,Homeowners,Residential Filters,RES-004,4,37.89,34.11,0.0996,22.69,0.3348,136.46,45.68,0,0.0,0.9977,0.9824,1.0392,1.1559,7.553,-1.6731
2024-07-01,2024,7,19,North,Homeowners,Residential Filters,RES-004,4,34.02,32.8,0.0359,22.69,0.308,131.19,40.41,1,4275.75,0.9197,0.9736,1.0396,1.18,4.419,-1.6731
2024-08-01,2024,8,20,North,Homeowners,Residential Filters,RES-004,4,34.53,32.53,0.058,22.69,0.3023,130.11,39.33,1,8639.55,0.96,0.9972,1.0371,1.1559,4.344,-1.6731
2024-09-01,2024,9,21,North,Homeowners,Residential Filters,RES-004,4,32.96,32.96,0.0,22.69,0.3115,131.84,41.06,1,13070.72,0.9069,1.0022,1.0414,1.09,5.693,-1.6731
2024-10-01,2024,10,22,North,Homeowners,Residential Filters,RES-004,3,34.08,30.12,0.1163,22.69,0.2464,90.35,22.26,0,0.0,0.9175,0.9836,1.0466,1.0,3.853,-1.6731
2024-11-01,2024,11,23,North,Homeowners,Residential Filters,RES-004,3,36.52,35.14,0.0376,22.69,0.3542,105.43,37.35,0,0.0,0.9281,0.9807,1.0489,0.91,6.732,-1.6731
2024-12-01,2024,12,24,North,Homeowners,Residential Filters,RES-004,2,40.84,39.0,0.0449,22.69,0.4181,78.0,32.61,0,0.0,0.9225,0.9584,1.0389,0.8441,3.329,-1.6731
2025-01-01,2025,1,25,North,Homeowners,Residential Filters,RES-004,2,41.15,36.06,0.1237,22.69,0.3707,72.13,26.74,0,0.0,0.8927,0.9519,1.0539,0.82,7.288,-1.6731
2025-02-01,2025,2,26,North,Homeowners,Residential Filters,RES-004,2,39.69,37.08,0.0657,22.69,0.388,74.16,28.78,0,0.0,0.8962,0.9616,1.0515,0.8441,5.994,-1.6731
2025-03-01,2025,3,27,North,Homeowners,Residential Filters,RES-004,3,38.58,34.3,0.111,22.69,0.3383,102.89,34.81,1,18579.29,0.8946,0.9687,1.051,0.91,4.48,-1.6731
2025-04-01,2025,4,28,North,Homeowners,Residential Filters,RES-004,3,37.96,32.28,0.1498,22.69,0.2969,96.83,28.75,1,15164.47,0.8383,0.9201,1.0602,1.0,5.501,-1.6731
